building_id,damage_grade
300051,3
99355,3
890251,3
745817,2
421793,3
871976,3
691228,2
896100,3
343471,3
766647,2
800548,3
652685,3
590834,3
612530,3
535718,2
269418,3
281421,3
797571,3
216579,1
81554,1
132785,1
976125,3
851237,3
322922,3
786774,1
922680,2
134349,3
551456,3
194812,3
520031,3
765502,3
517764,3
174470,3
395012,3
159776,3
62638,1
65760,3
761527,3
37201,1
853163,3
562505,2
349010,3
780817,3
179897,3
845103,3
171560,1
586661,3
84102,3
610806,3
269531,1
3781,2
127674,1
820462,3
955190,2
405557,2
143219,3
360041,3
378036,2
613583,3
992040,2
849585,3
491236,3
847580,3
229211,3
173624,3
642562,3
86467,3
684629,1
304627,1
255913,3
861624,3
367328,2
13216,3
838446,3
981040,3
335849,3
823769,3
666855,3
398783,3
829946,3
326177,3
359387,3
924578,2
712624,3
946541,2
373943,3
865274,3
522404,3
841632,3
649142,3
332157,1
722082,2
279597,3
107512,3
26477,1
138895,3
553866,3
157718,3
582842,3
123399,2
189875,3
70843,1
225218,1
703273,3
245176,3
760257,3
641933,3
76772,3
302226,3
535232,3
311900,3
859468,3
496582,3
970295,2
38184,3
533972,3
787930,2
706637,3
684359,3
744804,3
675284,3
900064,3
13833,1
483231,3
993785,3
91756,3
116435,3
27649,3
806119,3
527762,3
119879,3
521901,3
960588,3
150992,2
136949,3
681857,3
676342,3
85413,3
242230,1
46916,3
343837,3
693348,3
826208,3
639042,2
180348,3
997642,3
1014983,2
995476,3
599482,3
405738,2
209844,3
51119,2
1009242,3
260072,3
504317,3
678345,3
96671,2
738466,3
475174,3
767788,1
73477,3
140388,3
514634,3
59716,1
1038485,3
531485,2
666051,3
799813,2
420703,3
589536,3
661373,3
183074,3
875195,3
734876,2
988161,3
596967,2
370776,3
422000,3
829879,3
622400,1
789622,3
780895,3
14602,1
988846,3
1052375,3
101200,1
1005009,3
892887,3
582579,3
643663,3
420773,1
593771,3
678254,1
842277,3
797666,3
247831,3
987658,2
738804,3
803821,3
450829,3
490713,3
317799,1
260213,3
563507,3
890921,3
358475,3
877097,3
611331,1
140112,1
489116,3
751219,3
637592,2
363399,3
349807,1
1010213,3
274275,1
422044,3
635742,1
162240,1
380659,3
39235,3
594817,1
276267,3
622421,1
411651,3
528011,3
851293,3
669376,3
1753,3
638718,3
751101,3
559460,3
76515,3
80460,1
553776,3
312150,3
772309,2
437345,3
487537,2
393387,3
891125,3
1023631,2
107261,3
126191,3
137116,1
929006,2
222150,3
910002,3
86044,3
176074,3
153074,1
610702,1
856941,3
617478,3
485928,1
922208,2
306370,3
236678,3
419900,3
699568,3
771219,3
991482,3
211384,1
607193,3
911675,3
526435,3
303475,3
592882,3
715235,3
493169,3
981940,3
991842,3
942957,3
547080,3
636191,3
823756,3
151559,1
467575,3
17506,1
356258,3
235542,3
950690,3
715814,3
755888,3
550420,3
447977,1
490413,1
497546,3
975798,3
27136,3
705001,3
827358,3
812768,3
198545,3
69810,3
687284,3
169271,3
560991,2
89659,3
196494,3
978469,3
541401,3
762181,3
887981,3
974381,3
214827,3
14115,3
150603,1
236827,3
826290,3
1016586,3
417251,2
199989,3
41040,3
329865,3
446380,2
573543,3
79534,3
543998,3
675804,3
631605,3
715430,2
727165,3
453777,3
887410,3
808062,2
1953,3
540933,3
623996,3
352967,3
709290,1
68067,3
968956,3
1012455,3
774608,1
240334,1
696228,3
559784,1
769031,3
474176,3
507163,1
603898,3
759753,3
645053,3
847961,3
163437,1
205013,1
937195,1
817641,3
343929,3
734640,3
906212,3
1001446,1
42716,2
419453,2
340413,3
721995,3
652323,3
458622,3
1005075,3
331964,3
931599,2
180058,3
1035486,3
922921,3
691109,1
244922,1
124734,3
545585,3
51735,3
668804,3
817800,3
505387,2
927828,3
667734,3
71864,2
275425,1
253666,3
38136,3
1045388,2
834056,3
830675,3
172719,3
281148,3
940273,2
321838,3
486381,1
653205,3
835269,3
81648,3
172425,2
727971,2
928472,3
895215,3
1023647,3
997859,3
29304,2
57153,3
528607,3
749817,1
706544,3
760999,3
778465,3
987945,3
177903,3
639871,3
829665,2
823007,3
877761,2
960378,3
994124,3
461282,3
569582,3
474338,3
446462,3
489129,3
66319,3
639951,3
4119,3
359974,3
543191,3
595402,3
1022182,3
216000,3
938235,3
292853,2
904254,3
694129,3
63746,1
925788,3
1040364,3
231970,3
667627,3
24760,3
281116,3
628374,3
927502,3
917261,3
925061,3
754879,3
648017,3
1048403,2
345848,3
206436,3
163503,3
612314,3
319962,3
652056,3
1014522,3
13140,3
214595,3
766431,3
127828,3
762655,3
79942,3
531579,3
762192,3
