city,year,weekofyear,total_cases
sj,2008,18,5
sj,2008,19,9
sj,2008,20,12
sj,2008,21,12
sj,2008,22,14
sj,2008,23,25
sj,2008,24,33
sj,2008,25,14
sj,2008,26,19
sj,2008,27,46
sj,2008,28,25
sj,2008,29,27
sj,2008,30,27
sj,2008,31,44
sj,2008,32,18
sj,2008,33,100
sj,2008,34,18
sj,2008,35,31
sj,2008,36,38
sj,2008,37,27
sj,2008,38,30
sj,2008,39,35
sj,2008,40,44
sj,2008,41,32
sj,2008,42,62
sj,2008,43,50
sj,2008,44,61
sj,2008,45,44
sj,2008,46,38
sj,2008,47,42
sj,2008,48,40
sj,2008,49,27
sj,2008,50,39
sj,2008,51,42
sj,2008,52,26
sj,2009,1,33
sj,2009,2,13
sj,2009,3,33
sj,2009,4,23
sj,2009,5,26
sj,2009,6,16
sj,2009,7,21
sj,2009,8,25
sj,2009,9,16
sj,2009,10,21
sj,2009,11,18
sj,2009,12,19
sj,2009,13,9
sj,2009,14,19
sj,2009,15,16
sj,2009,16,10
sj,2009,17,13
sj,2009,18,16
sj,2009,19,10
sj,2009,20,19
sj,2009,21,11
sj,2009,22,10
sj,2009,23,14
sj,2009,24,32
sj,2009,25,31
sj,2009,26,13
sj,2009,27,20
sj,2009,28,17
sj,2009,29,29
sj,2009,30,23
sj,2009,31,29
sj,2009,32,27
sj,2009,33,35
sj,2009,34,25
sj,2009,35,77
sj,2009,36,29
sj,2009,37,66
sj,2009,38,66
sj,2009,39,56
sj,2009,40,51
sj,2009,41,52
sj,2009,42,56
sj,2009,43,33
sj,2009,44,51
sj,2009,45,50
sj,2009,46,46
sj,2009,47,40
sj,2009,48,55
sj,2009,49,59
sj,2009,50,45
sj,2009,51,54
sj,2009,52,37
sj,2010,53,59
sj,2010,1,22
sj,2010,2,30
sj,2010,3,26
sj,2010,4,30
sj,2010,5,23
sj,2010,6,15
sj,2010,7,17
sj,2010,8,29
sj,2010,9,19
sj,2010,10,9
sj,2010,11,11
sj,2010,12,10
sj,2010,13,10
sj,2010,14,11
sj,2010,15,14
sj,2010,16,9
sj,2010,17,31
sj,2010,18,12
sj,2010,19,10
sj,2010,20,12
sj,2010,21,13
sj,2010,22,22
sj,2010,23,36
sj,2010,24,50
sj,2010,25,13
sj,2010,26,42
sj,2010,27,21
sj,2010,28,26
sj,2010,29,24
sj,2010,30,20
sj,2010,31,39
sj,2010,32,95
sj,2010,33,67
sj,2010,34,66
sj,2010,35,36
sj,2010,36,33
sj,2010,37,40
sj,2010,38,82
sj,2010,39,73
sj,2010,40,43
sj,2010,41,40
sj,2010,42,27
sj,2010,43,41
sj,2010,44,37
sj,2010,45,43
sj,2010,46,40
sj,2010,47,30
sj,2010,48,34
sj,2010,49,57
sj,2010,50,27
sj,2010,51,49
sj,2011,52,40
sj,2011,1,18
sj,2011,2,28
sj,2011,3,13
sj,2011,4,20
sj,2011,5,27
sj,2011,6,15
sj,2011,7,12
sj,2011,8,14
sj,2011,9,7
sj,2011,10,11
sj,2011,11,15
sj,2011,12,21
sj,2011,13,13
sj,2011,14,22
sj,2011,15,17
sj,2011,16,8
sj,2011,17,7
sj,2011,18,13
sj,2011,19,9
sj,2011,20,25
sj,2011,21,21
sj,2011,22,7
sj,2011,23,13
sj,2011,24,18
sj,2011,25,19
sj,2011,26,13
sj,2011,27,26
sj,2011,28,18
sj,2011,29,32
sj,2011,30,20
sj,2011,31,31
sj,2011,32,27
sj,2011,33,50
sj,2011,34,29
sj,2011,35,25
sj,2011,36,36
sj,2011,37,46
sj,2011,38,44
sj,2011,39,39
sj,2011,40,56
sj,2011,41,71
sj,2011,42,23
sj,2011,43,57
sj,2011,44,55
sj,2011,45,50
sj,2011,46,30
sj,2011,47,35
sj,2011,48,30
sj,2011,49,38
sj,2011,50,43
sj,2011,51,30
sj,2012,52,39
sj,2012,1,28
sj,2012,2,35
sj,2012,3,22
sj,2012,4,19
sj,2012,5,32
sj,2012,6,24
sj,2012,7,19
sj,2012,8,17
sj,2012,9,14
sj,2012,10,18
sj,2012,11,13
sj,2012,12,13
sj,2012,13,19
sj,2012,14,12
sj,2012,15,11
sj,2012,16,16
sj,2012,17,9
sj,2012,18,12
sj,2012,19,13
sj,2012,20,31
sj,2012,21,12
sj,2012,22,11
sj,2012,23,22
sj,2012,24,14
sj,2012,25,21
sj,2012,26,13
sj,2012,27,16
sj,2012,28,32
sj,2012,29,35
sj,2012,30,38
sj,2012,31,60
sj,2012,32,27
sj,2012,33,61
sj,2012,34,65
sj,2012,35,37
sj,2012,36,74
sj,2012,37,36
sj,2012,38,45
sj,2012,39,24
sj,2012,40,37
sj,2012,41,65
sj,2012,42,62
sj,2012,43,56
sj,2012,44,49
sj,2012,45,44
sj,2012,46,45
sj,2012,47,282
sj,2012,48,33
sj,2012,49,33
sj,2012,50,21
sj,2012,51,20
sj,2013,1,18
sj,2013,2,21
sj,2013,3,20
sj,2013,4,18
sj,2013,5,28
sj,2013,6,25
sj,2013,7,23
sj,2013,8,17
sj,2013,9,15
sj,2013,10,12
sj,2013,11,21
sj,2013,12,10
sj,2013,13,11
sj,2013,14,7
sj,2013,15,10
sj,2013,16,12
sj,2013,17,7
iq,2010,26,6
iq,2010,27,4
iq,2010,28,3
iq,2010,29,5
iq,2010,30,6
iq,2010,31,2
iq,2010,32,3
iq,2010,33,7
iq,2010,34,5
iq,2010,35,6
iq,2010,36,4
iq,2010,37,7
iq,2010,38,4
iq,2010,39,5
iq,2010,40,6
iq,2010,41,6
iq,2010,42,7
iq,2010,43,11
iq,2010,44,10
iq,2010,45,4
iq,2010,46,9
iq,2010,47,6
iq,2010,48,13
iq,2010,49,4
iq,2010,50,6
iq,2010,51,10
iq,2011,52,4
iq,2011,1,8
iq,2011,2,9
iq,2011,3,11
iq,2011,4,10
iq,2011,5,12
iq,2011,6,12
iq,2011,7,7
iq,2011,8,13
iq,2011,9,7
iq,2011,10,13
iq,2011,11,9
iq,2011,12,9
iq,2011,13,11
iq,2011,14,9
iq,2011,15,12
iq,2011,16,9
iq,2011,17,11
iq,2011,18,12
iq,2011,19,5
iq,2011,20,7
iq,2011,21,3
iq,2011,22,5
iq,2011,23,7
iq,2011,24,5
iq,2011,25,3
iq,2011,26,3
iq,2011,27,5
iq,2011,28,6
iq,2011,29,6
iq,2011,30,3
iq,2011,31,3
iq,2011,32,4
iq,2011,33,6
iq,2011,34,7
iq,2011,35,5
iq,2011,36,5
iq,2011,37,7
iq,2011,38,3
iq,2011,39,4
iq,2011,40,6
iq,2011,41,6
iq,2011,42,6
iq,2011,43,4
iq,2011,44,5
iq,2011,45,7
iq,2011,46,9
iq,2011,47,8
iq,2011,48,6
iq,2011,49,5
iq,2011,50,4
iq,2011,51,7
iq,2012,52,5
iq,2012,1,17
iq,2012,2,9
iq,2012,3,7
iq,2012,4,11
iq,2012,5,12
iq,2012,6,5
iq,2012,7,7
iq,2012,8,11
iq,2012,9,7
iq,2012,10,7
iq,2012,11,9
iq,2012,12,6
iq,2012,13,10
iq,2012,14,6
iq,2012,15,12
iq,2012,16,5
iq,2012,17,8
iq,2012,18,6
iq,2012,19,5
iq,2012,20,11
iq,2012,21,5
iq,2012,22,3
iq,2012,23,4
iq,2012,24,5
iq,2012,25,4
iq,2012,26,4
iq,2012,27,3
iq,2012,28,5
iq,2012,29,1
iq,2012,30,3
iq,2012,31,5
iq,2012,32,6
iq,2012,33,3
iq,2012,34,3
iq,2012,35,4
iq,2012,36,4
iq,2012,37,2
iq,2012,38,4
iq,2012,39,5
iq,2012,40,8
iq,2012,41,8
iq,2012,42,14
iq,2012,43,9
iq,2012,44,6
iq,2012,45,8
iq,2012,46,13
iq,2012,47,7
iq,2012,48,6
iq,2012,49,6
iq,2012,50,9
iq,2012,51,7
iq,2013,1,11
iq,2013,2,11
iq,2013,3,11
iq,2013,4,12
iq,2013,5,19
iq,2013,6,13
iq,2013,7,9
iq,2013,8,9
iq,2013,9,9
iq,2013,10,6
iq,2013,11,5
iq,2013,12,9
iq,2013,13,7
iq,2013,14,5
iq,2013,15,10
iq,2013,16,7
iq,2013,17,8
iq,2013,18,4
iq,2013,19,6
iq,2013,20,7
iq,2013,21,4
iq,2013,22,3
iq,2013,23,4
iq,2013,24,5
iq,2013,25,4
iq,2013,26,3
