city,year,weekofyear,total_cases
sj,2008,18,19
sj,2008,19,19
sj,2008,20,5
sj,2008,21,5
sj,2008,22,19
sj,2008,23,19
sj,2008,24,19
sj,2008,25,19
sj,2008,26,42
sj,2008,27,42
sj,2008,28,19
sj,2008,29,19
sj,2008,30,42
sj,2008,31,42
sj,2008,32,42
sj,2008,33,42
sj,2008,34,144
sj,2008,35,144
sj,2008,36,144
sj,2008,37,144
sj,2008,38,144
sj,2008,39,48
sj,2008,40,144
sj,2008,41,48
sj,2008,42,48
sj,2008,43,48
sj,2008,44,48
sj,2008,45,48
sj,2008,46,48
sj,2008,47,48
sj,2008,48,48
sj,2008,49,38
sj,2008,50,38
sj,2008,51,48
sj,2008,52,38
sj,2009,1,19
sj,2009,2,19
sj,2009,3,19
sj,2009,4,19
sj,2009,5,19
sj,2009,6,19
sj,2009,7,19
sj,2009,8,19
sj,2009,9,19
sj,2009,10,19
sj,2009,11,19
sj,2009,12,19
sj,2009,13,5
sj,2009,14,19
sj,2009,15,19
sj,2009,16,19
sj,2009,17,19
sj,2009,18,19
sj,2009,19,19
sj,2009,20,19
sj,2009,21,19
sj,2009,22,42
sj,2009,23,19
sj,2009,24,19
sj,2009,25,19
sj,2009,26,19
sj,2009,27,42
sj,2009,28,42
sj,2009,29,42
sj,2009,30,42
sj,2009,31,42
sj,2009,32,42
sj,2009,33,42
sj,2009,34,144
sj,2009,35,144
sj,2009,36,48
sj,2009,37,144
sj,2009,38,48
sj,2009,39,48
sj,2009,40,144
sj,2009,41,144
sj,2009,42,144
sj,2009,43,144
sj,2009,44,48
sj,2009,45,48
sj,2009,46,48
sj,2009,47,48
sj,2009,48,48
sj,2009,49,48
sj,2009,50,48
sj,2009,51,48
sj,2009,52,48
sj,2010,53,18
sj,2010,1,19
sj,2010,2,19
sj,2010,3,19
sj,2010,4,19
sj,2010,5,19
sj,2010,6,5
sj,2010,7,5
sj,2010,8,19
sj,2010,9,19
sj,2010,10,19
sj,2010,11,19
sj,2010,12,11
sj,2010,13,19
sj,2010,14,19
sj,2010,15,19
sj,2010,16,19
sj,2010,17,42
sj,2010,18,42
sj,2010,19,19
sj,2010,20,42
sj,2010,21,42
sj,2010,22,42
sj,2010,23,42
sj,2010,24,42
sj,2010,25,42
sj,2010,26,42
sj,2010,27,42
sj,2010,28,42
sj,2010,29,42
sj,2010,30,42
sj,2010,31,42
sj,2010,32,42
sj,2010,33,42
sj,2010,34,144
sj,2010,35,144
sj,2010,36,144
sj,2010,37,144
sj,2010,38,144
sj,2010,39,144
sj,2010,40,144
sj,2010,41,144
sj,2010,42,48
sj,2010,43,48
sj,2010,44,48
sj,2010,45,48
sj,2010,46,38
sj,2010,47,48
sj,2010,48,38
sj,2010,49,5
sj,2010,50,5
sj,2010,51,38
sj,2011,52,38
sj,2011,1,19
sj,2011,2,19
sj,2011,3,19
sj,2011,4,19
sj,2011,5,19
sj,2011,6,19
sj,2011,7,19
sj,2011,8,19
sj,2011,9,19
sj,2011,10,19
sj,2011,11,19
sj,2011,12,19
sj,2011,13,19
sj,2011,14,19
sj,2011,15,19
sj,2011,16,19
sj,2011,17,19
sj,2011,18,19
sj,2011,19,19
sj,2011,20,19
sj,2011,21,19
sj,2011,22,42
sj,2011,23,42
sj,2011,24,42
sj,2011,25,42
sj,2011,26,42
sj,2011,27,42
sj,2011,28,42
sj,2011,29,42
sj,2011,30,42
sj,2011,31,42
sj,2011,32,42
sj,2011,33,42
sj,2011,34,144
sj,2011,35,144
sj,2011,36,144
sj,2011,37,144
sj,2011,38,144
sj,2011,39,144
