city,year,weekofyear,total_cases
sj,2008,18,31
sj,2008,19,42
sj,2008,20,31
sj,2008,21,33
sj,2008,22,58
sj,2008,23,25
sj,2008,24,34
sj,2008,25,36
sj,2008,26,50
sj,2008,27,37
sj,2008,28,11
sj,2008,29,26
sj,2008,30,24
sj,2008,31,49
sj,2008,32,33
sj,2008,33,67
sj,2008,34,34
sj,2008,35,33
sj,2008,36,34
sj,2008,37,56
sj,2008,38,27
sj,2008,39,8
sj,2008,40,15
sj,2008,41,45
sj,2008,42,54
sj,2008,43,0
sj,2008,44,66
sj,2008,45,51
sj,2008,46,36
sj,2008,47,36
sj,2008,48,42
sj,2008,49,44
sj,2008,50,15
sj,2008,51,19
sj,2008,52,34
sj,2009,1,19
sj,2009,2,-34
sj,2009,3,14
sj,2009,4,24
sj,2009,5,9
sj,2009,6,22
sj,2009,7,-1
sj,2009,8,11
sj,2009,9,0
sj,2009,10,-2
sj,2009,11,31
sj,2009,12,-7
sj,2009,13,0
sj,2009,14,25
sj,2009,15,14
sj,2009,16,28
sj,2009,17,27
sj,2009,18,20
sj,2009,19,46
sj,2009,20,36
sj,2009,21,37
sj,2009,22,10
sj,2009,23,30
sj,2009,24,49
sj,2009,25,43
sj,2009,26,27
sj,2009,27,10
sj,2009,28,33
sj,2009,29,28
sj,2009,30,33
sj,2009,31,51
sj,2009,32,21
sj,2009,33,45
sj,2009,34,24
sj,2009,35,24
sj,2009,36,46
sj,2009,37,52
sj,2009,38,71
sj,2009,39,40
sj,2009,40,44
sj,2009,41,48
sj,2009,42,34
sj,2009,43,23
sj,2009,44,27
sj,2009,45,50
sj,2009,46,32
sj,2009,47,51
sj,2009,48,36
sj,2009,49,44
sj,2009,50,43
sj,2009,51,48
sj,2009,52,45
sj,2010,53,72
sj,2010,1,20
sj,2010,2,18
sj,2010,3,48
sj,2010,4,8
sj,2010,5,24
sj,2010,6,10
sj,2010,7,22
sj,2010,8,33
sj,2010,9,23
sj,2010,10,55
sj,2010,11,9
sj,2010,12,0
sj,2010,13,-10
sj,2010,14,4
sj,2010,15,21
sj,2010,16,39
sj,2010,17,39
sj,2010,18,20
sj,2010,19,36
sj,2010,20,34
sj,2010,21,34
sj,2010,22,41
sj,2010,23,29
sj,2010,24,0
sj,2010,25,39
sj,2010,26,29
sj,2010,27,30
sj,2010,28,34
sj,2010,29,57
sj,2010,30,41
sj,2010,31,21
sj,2010,32,65
sj,2010,33,42
sj,2010,34,22
sj,2010,35,41
sj,2010,36,66
sj,2010,37,32
sj,2010,38,55
sj,2010,39,53
sj,2010,40,44
sj,2010,41,60
sj,2010,42,10
sj,2010,43,11
sj,2010,44,48
sj,2010,45,54
sj,2010,46,47
sj,2010,47,10
sj,2010,48,37
sj,2010,49,35
sj,2010,50,23
sj,2010,51,59
sj,2011,52,44
sj,2011,1,20
sj,2011,2,27
sj,2011,3,-21
sj,2011,4,-8
sj,2011,5,3
sj,2011,6,15
sj,2011,7,-2
sj,2011,8,-1
sj,2011,9,6
sj,2011,10,-17
sj,2011,11,-9
sj,2011,12,4
sj,2011,13,14
sj,2011,14,28
sj,2011,15,20
sj,2011,16,2
sj,2011,17,17
sj,2011,18,31
sj,2011,19,21
sj,2011,20,27
sj,2011,21,47
sj,2011,22,37
sj,2011,23,58
sj,2011,24,43
sj,2011,25,29
sj,2011,26,43
sj,2011,27,40
sj,2011,28,29
sj,2011,29,54
sj,2011,30,37
sj,2011,31,41
sj,2011,32,18
sj,2011,33,34
sj,2011,34,47
sj,2011,35,26
sj,2011,36,34
sj,2011,37,46
sj,2011,38,41
sj,2011,39,8
sj,2011,40,11
sj,2011,41,56
sj,2011,42,42
sj,2011,43,53
sj,2011,44,43
sj,2011,45,40
sj,2011,46,43
sj,2011,47,41
sj,2011,48,33
sj,2011,49,15
sj,2011,50,22
sj,2011,51,59
sj,2012,52,54
sj,2012,1,-1
sj,2012,2,-2
sj,2012,3,10
sj,2012,4,16
sj,2012,5,12
sj,2012,6,-7
sj,2012,7,15
sj,2012,8,-37
sj,2012,9,12
sj,2012,10,6
sj,2012,11,-5
sj,2012,12,21
sj,2012,13,28
sj,2012,14,20
sj,2012,15,34
sj,2012,16,12
sj,2012,17,20
sj,2012,18,46
sj,2012,19,32
sj,2012,20,37
sj,2012,21,31
sj,2012,22,21
sj,2012,23,15
sj,2012,24,36
sj,2012,25,21
sj,2012,26,40
sj,2012,27,40
sj,2012,28,42
sj,2012,29,48
sj,2012,30,39
sj,2012,31,42
sj,2012,32,28
sj,2012,33,64
sj,2012,34,57
sj,2012,35,38
sj,2012,36,13
sj,2012,37,33
sj,2012,38,38
sj,2012,39,44
sj,2012,40,31
sj,2012,41,49
sj,2012,42,52
sj,2012,43,54
sj,2012,44,51
sj,2012,45,41
sj,2012,46,49
sj,2012,47,88
sj,2012,48,28
sj,2012,49,45
sj,2012,50,49
sj,2012,51,61
sj,2013,1,2
sj,2013,2,23
sj,2013,3,10
sj,2013,4,-4
sj,2013,5,27
sj,2013,6,13
sj,2013,7,-3
sj,2013,8,1
sj,2013,9,19
sj,2013,10,42
sj,2013,11,-1
sj,2013,12,21
sj,2013,13,17
sj,2013,14,7
sj,2013,15,14
sj,2013,16,33
sj,2013,17,24
iq,2010,26,-3
iq,2010,27,-24
iq,2010,28,-2
iq,2010,29,22
iq,2010,30,-13
iq,2010,31,-11
iq,2010,32,-19
iq,2010,33,-15
iq,2010,34,-19
iq,2010,35,-15
iq,2010,36,25
iq,2010,37,13
iq,2010,38,-15
iq,2010,39,-24
iq,2010,40,11
iq,2010,41,-8
iq,2010,42,6
iq,2010,43,23
iq,2010,44,20
iq,2010,45,9
iq,2010,46,11
iq,2010,47,8
iq,2010,48,38
iq,2010,49,14
iq,2010,50,-3
iq,2010,51,23
iq,2011,52,20
iq,2011,1,-38
iq,2011,2,-12
iq,2011,3,-13
iq,2011,4,-21
iq,2011,5,-7
iq,2011,6,-9
iq,2011,7,-25
iq,2011,8,-10
iq,2011,9,-5
iq,2011,10,-27
iq,2011,11,-40
iq,2011,12,6
iq,2011,13,7
iq,2011,14,-45
iq,2011,15,-4
iq,2011,16,5
iq,2011,17,-5
iq,2011,18,-19
iq,2011,19,-9
iq,2011,20,4
iq,2011,21,-4
iq,2011,22,26
iq,2011,23,22
iq,2011,24,-9
iq,2011,25,24
iq,2011,26,17
iq,2011,27,39
iq,2011,28,-10
iq,2011,29,-30
iq,2011,30,-22
iq,2011,31,-34
iq,2011,32,-15
iq,2011,33,-16
iq,2011,34,-4
iq,2011,35,-17
iq,2011,36,-7
iq,2011,37,26
iq,2011,38,-8
iq,2011,39,-27
iq,2011,40,-22
iq,2011,41,13
iq,2011,42,7
iq,2011,43,-36
iq,2011,44,-18
iq,2011,45,2
iq,2011,46,15
iq,2011,47,4
iq,2011,48,-2
iq,2011,49,-4
iq,2011,50,12
iq,2011,51,-1
iq,2012,52,10
iq,2012,1,-13
iq,2012,2,-24
iq,2012,3,-15
iq,2012,4,-44
iq,2012,5,-21
iq,2012,6,-1
iq,2012,7,-35
iq,2012,8,-13
iq,2012,9,-26
iq,2012,10,-31
iq,2012,11,-9
iq,2012,12,-16
iq,2012,13,-28
iq,2012,14,-2
iq,2012,15,-3
iq,2012,16,-18
iq,2012,17,-48
iq,2012,18,3
iq,2012,19,-24
iq,2012,20,-36
iq,2012,21,-6
iq,2012,22,-10
iq,2012,23,0
