city,year,weekofyear,total_cases
sj,2008,18,15
sj,2008,19,15
sj,2008,20,14
sj,2008,21,14
sj,2008,22,14
sj,2008,23,16
sj,2008,24,15
sj,2008,25,17
sj,2008,26,24
sj,2008,27,27
sj,2008,28,19
sj,2008,29,34
sj,2008,30,40
sj,2008,31,41
sj,2008,32,50
sj,2008,33,63
sj,2008,34,81
sj,2008,35,85
sj,2008,36,82
sj,2008,37,77
sj,2008,38,76
sj,2008,39,51
sj,2008,40,75
sj,2008,41,53
sj,2008,42,53
sj,2008,43,50
sj,2008,44,52
sj,2008,45,51
sj,2008,46,49
sj,2008,47,51
sj,2008,48,45
sj,2008,49,43
sj,2008,50,41
sj,2008,51,50
sj,2008,52,35
sj,2009,1,29
sj,2009,2,27
sj,2009,3,30
sj,2009,4,28
sj,2009,5,28
sj,2009,6,20
sj,2009,7,19
sj,2009,8,19
sj,2009,9,18
sj,2009,10,16
sj,2009,11,15
sj,2009,12,15
sj,2009,13,12
sj,2009,14,16
sj,2009,15,15
sj,2009,16,15
sj,2009,17,15
sj,2009,18,16
sj,2009,19,15
sj,2009,20,16
sj,2009,21,17
sj,2009,22,22
sj,2009,23,15
sj,2009,24,16
sj,2009,25,18
sj,2009,26,17
sj,2009,27,22
sj,2009,28,26
sj,2009,29,43
sj,2009,30,46
sj,2009,31,49
sj,2009,32,47
sj,2009,33,55
sj,2009,34,81
sj,2009,35,86
sj,2009,36,66
sj,2009,37,78
sj,2009,38,60
sj,2009,39,58
sj,2009,40,88
sj,2009,41,88
sj,2009,42,87
sj,2009,43,83
sj,2009,44,66
sj,2009,45,49
sj,2009,46,48
sj,2009,47,51
sj,2009,48,52
sj,2009,49,52
sj,2009,50,49
sj,2009,51,51
sj,2009,52,47
sj,2010,53,81
sj,2010,1,29
sj,2010,2,29
sj,2010,3,30
sj,2010,4,28
sj,2010,5,27
sj,2010,6,18
sj,2010,7,18
sj,2010,8,18
sj,2010,9,17
sj,2010,10,17
sj,2010,11,15
sj,2010,12,14
sj,2010,13,15
sj,2010,14,15
sj,2010,15,15
sj,2010,16,15
sj,2010,17,23
sj,2010,18,23
sj,2010,19,16
sj,2010,20,23
sj,2010,21,24
sj,2010,22,24
sj,2010,23,27
sj,2010,24,26
sj,2010,25,23
sj,2010,26,27
sj,2010,27,31
sj,2010,28,31
sj,2010,29,40
sj,2010,30,39
sj,2010,31,49
sj,2010,32,59
sj,2010,33,55
sj,2010,34,84
sj,2010,35,80
sj,2010,36,88
sj,2010,37,73
sj,2010,38,79
sj,2010,39,73
sj,2010,40,73
sj,2010,41,75
sj,2010,42,50
sj,2010,43,50
sj,2010,44,53
sj,2010,45,51
sj,2010,46,44
sj,2010,47,42
sj,2010,48,40
sj,2010,49,30
sj,2010,50,38
sj,2010,51,43
sj,2011,52,43
sj,2011,1,27
sj,2011,2,31
sj,2011,3,30
sj,2011,4,28
sj,2011,5,26
sj,2011,6,20
sj,2011,7,19
sj,2011,8,19
sj,2011,9,17
sj,2011,10,16
sj,2011,11,15
sj,2011,12,16
sj,2011,13,15
sj,2011,14,16
sj,2011,15,16
sj,2011,16,16
sj,2011,17,15
sj,2011,18,16
sj,2011,19,16
sj,2011,20,17
sj,2011,21,22
sj,2011,22,23
sj,2011,23,23
sj,2011,24,23
sj,2011,25,24
sj,2011,26,28
sj,2011,27,27
sj,2011,28,28
sj,2011,29,38
sj,2011,30,41
sj,2011,31,43
sj,2011,32,49
sj,2011,33,54
sj,2011,34,70
sj,2011,35,73
sj,2011,36,74
sj,2011,37,85
sj,2011,38,72
sj,2011,39,73
sj,2011,40,75
sj,2011,41,52
sj,2011,42,51
sj,2011,43,49
sj,2011,44,65
sj,2011,45,52
sj,2011,46,49
sj,2011,47,45
sj,2011,48,44
sj,2011,49,40
sj,2011,50,43
sj,2011,51,40
sj,2012,52,42
sj,2012,1,30
sj,2012,2,30
sj,2012,3,30
sj,2012,4,27
sj,2012,5,25
sj,2012,6,20
sj,2012,7,19
sj,2012,8,19
sj,2012,9,17
sj,2012,10,16
sj,2012,11,15
sj,2012,12,15
sj,2012,13,16
sj,2012,14,16
sj,2012,15,15
sj,2012,16,16
sj,2012,17,15
sj,2012,18,16
sj,2012,19,16
sj,2012,20,24
sj,2012,21,18
sj,2012,22,15
sj,2012,23,24
sj,2012,24,17
sj,2012,25,23
sj,2012,26,28
sj,2012,27,27
sj,2012,28,25
sj,2012,29,43
sj,2012,30,43
sj,2012,31,46
sj,2012,32,49
sj,2012,33,57
sj,2012,34,81
sj,2012,35,62
sj,2012,36,64
sj,2012,37,59
sj,2012,38,65
sj,2012,39,87
sj,2012,40,86
sj,2012,41,58
sj,2012,42,74
sj,2012,43,75
sj,2012,44,84
sj,2012,45,58
sj,2012,46,53
sj,2012,47,314
sj,2012,48,49
sj,2012,49,51
sj,2012,50,48
sj,2012,51,45
sj,2013,1,29
sj,2013,2,30
