city,year,weekofyear,total_cases
sj,2008,18,7
sj,2008,19,10
sj,2008,20,8
sj,2008,21,12
sj,2008,22,13
sj,2008,23,13
sj,2008,24,9
sj,2008,25,14
sj,2008,26,23
sj,2008,27,48
sj,2008,28,21
sj,2008,29,46
sj,2008,30,40
sj,2008,31,36
sj,2008,32,70
sj,2008,33,86
sj,2008,34,106
sj,2008,35,110
sj,2008,36,125
sj,2008,37,131
sj,2008,38,122
sj,2008,39,72
sj,2008,40,96
sj,2008,41,59
sj,2008,42,58
sj,2008,43,59
sj,2008,44,74
sj,2008,45,56
sj,2008,46,49
sj,2008,47,75
sj,2008,48,37
sj,2008,49,36
sj,2008,50,39
sj,2008,51,73
sj,2008,52,33
sj,2009,1,55
sj,2009,2,28
sj,2009,3,41
sj,2009,4,37
sj,2009,5,38
sj,2009,6,27
sj,2009,7,22
sj,2009,8,21
sj,2009,9,17
sj,2009,10,17
sj,2009,11,14
sj,2009,12,13
sj,2009,13,7
sj,2009,14,15
sj,2009,15,12
sj,2009,16,12
sj,2009,17,11
sj,2009,18,10
sj,2009,19,16
sj,2009,20,15
sj,2009,21,15
sj,2009,22,26
sj,2009,23,8
sj,2009,24,12
sj,2009,25,15
sj,2009,26,13
sj,2009,27,40
sj,2009,28,26
sj,2009,29,49
sj,2009,30,55
sj,2009,31,73
sj,2009,32,52
sj,2009,33,89
sj,2009,34,90
sj,2009,35,105
sj,2009,36,79
sj,2009,37,119
sj,2009,38,80
sj,2009,39,72
sj,2009,40,88
sj,2009,41,108
sj,2009,42,95
sj,2009,43,73
sj,2009,44,100
sj,2009,45,71
sj,2009,46,44
sj,2009,47,72
sj,2009,48,63
sj,2009,49,52
sj,2009,50,64
sj,2009,51,59
sj,2009,52,68
sj,2010,53,48
sj,2010,1,40
sj,2010,2,40
sj,2010,3,49
sj,2010,4,35
sj,2010,5,22
sj,2010,6,21
sj,2010,7,18
sj,2010,8,18
sj,2010,9,20
sj,2010,10,19
sj,2010,11,12
sj,2010,12,12
sj,2010,13,19
sj,2010,14,21
sj,2010,15,12
sj,2010,16,12
sj,2010,17,27
sj,2010,18,26
sj,2010,19,10
sj,2010,20,26
sj,2010,21,31
sj,2010,22,26
sj,2010,23,48
sj,2010,24,35
sj,2010,25,23
