Parking,Day,Month,Year,DayWeek,Timeslot,Holiday,Schoolday,Temperature,Humidity,CheckIn,CheckOut
ELDER,1,12,2022,J,0,N,S,19.0,0.64,0,9
ELDER,1,12,2022,J,1,N,S,19.0,0.6,0,2
ELDER,1,12,2022,J,4,N,S,19.0,0.6,0,1
ELDER,1,12,2022,J,5,N,S,19.0,0.64,1,1
ELDER,1,12,2022,J,6,N,S,19.0,0.68,8,8
ELDER,1,12,2022,J,7,N,S,20.0,0.6,16,5
ELDER,1,12,2022,J,8,N,S,20.0,0.56,52,13
ELDER,1,12,2022,J,9,N,S,21.0,0.53,29,26
ELDER,1,12,2022,J,10,N,S,22.0,0.5,43,19
ELDER,1,12,2022,J,11,N,S,23.0,0.5,33,29
ELDER,1,12,2022,J,12,N,S,24.0,0.5,30,35
ELDER,1,12,2022,J,13,N,S,23.0,0.57,35,41
ELDER,1,12,2022,J,14,N,S,23.0,0.53,34,40
ELDER,1,12,2022,J,15,N,S,24.0,0.5,35,33
ELDER,1,12,2022,J,16,N,S,23.0,0.53,34,22
ELDER,1,12,2022,J,17,N,S,22.0,0.6,53,28
ELDER,1,12,2022,J,18,N,S,22.0,0.57,48,49
ELDER,1,12,2022,J,19,N,S,21.0,0.64,51,47
ELDER,1,12,2022,J,20,N,S,20.0,0.78,26,39
ELDER,1,12,2022,J,21,N,S,20.0,0.78,11,31
ELDER,1,12,2022,J,22,N,S,20.0,0.78,8,31
ELDER,1,12,2022,J,23,N,S,20.0,0.73,3,14
ELDER,2,12,2022,V,0,N,S,19.0,0.78,1,13
ELDER,2,12,2022,V,1,N,S,19.0,0.78,1,14
ELDER,2,12,2022,V,2,N,S,18.0,0.77,1,4
ELDER,2,12,2022,V,3,N,S,18.0,0.73,0,4
ELDER,2,12,2022,V,4,N,S,19.0,0.78,0,1
ELDER,2,12,2022,V,5,N,S,19.0,0.78,0,1
ELDER,2,12,2022,V,6,N,S,18.0,0.94,11,5
ELDER,2,12,2022,V,7,N,S,18.0,0.94,15,6
ELDER,2,12,2022,V,8,N,S,19.0,0.88,48,10
ELDER,2,12,2022,V,9,N,S,20.0,0.78,40,23
ELDER,2,12,2022,V,10,N,S,22.0,0.69,43,36
ELDER,2,12,2022,V,11,N,S,22.0,0.69,44,26
