web-scraper-order,web-scraper-start-url,Día,Hora,Condiciones meteorológicas,Temperatura,Viento,Humedad,Presión,pagination
"1680878306-50","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","00:00","Nubes dispersas","19°","11 km/h","68%","1018 hPa",""
"1680878306-51","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","null","null","null","null","null","null",""
"1680878306-52","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","00:30","Nubes dispersas","19°","13 km/h","64%","1018 hPa",""
"1680878306-53","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","01:00","Nubes dispersas","19°","17 km/h","60%","1017 hPa",""
"1680878306-54","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","01:30","Nubes dispersas","19°","13 km/h","60%","1017 hPa",""
"1680878306-55","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","02:00","Nubes dispersas","19°","15 km/h","64%","1017 hPa",""
"1680878306-56","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","02:30","Nubes dispersas","19°","15 km/h","64%","1017 hPa",""
"1680878306-57","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","03:00","Nubes dispersas","18°","13 km/h","68%","1016 hPa",""
"1680878306-58","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","03:30","Nubes dispersas","18°","15 km/h","68%","1016 hPa",""
"1680878306-59","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","04:00","Nubes dispersas","19°","15 km/h","60%","1016 hPa",""
"1680878306-60","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","04:30","Nubes dispersas","19°","17 km/h","60%","1016 hPa",""
"1680878306-61","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","05:00","Mayormente cubierto","20°","17 km/h","56%","1016 hPa",""
"1680878306-62","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","05:30","Parcialmente cubierto","19°","19 km/h","64%","1016 hPa",""
"1680878306-63","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","06:00","Nubes dispersas","19°","15 km/h","64%","1016 hPa",""
"1680878306-64","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","06:30","Parcialmente cubierto","19°","15 km/h","68%","1016 hPa",""
"1680878306-65","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","07:00","Mayormente cubierto","20°","17 km/h","64%","1016 hPa",""
"1680878306-66","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","07:30","Mayormente cubierto","20°","15 km/h","60%","1016 hPa",""
"1680878306-67","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","08:00","Parcialmente cubierto","19°","13 km/h","64%","1017 hPa",""
"1680878306-68","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","08:30","Parcialmente cubierto","20°","15 km/h","56%","1017 hPa",""
"1680878306-69","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","09:00","Parcialmente cubierto","21°","13 km/h","53%","1017 hPa",""
"1680878306-70","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","09:30","Parcialmente cubierto","21°","15 km/h","53%","1017 hPa",""
"1680878306-71","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","10:00","Nubes dispersas","21°","19 km/h","53%","1017 hPa",""
"1680878306-72","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","10:30","Nubes dispersas","22°","15 km/h","50%","1018 hPa",""
"1680878306-73","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","11:00","Nubes dispersas","23°","17 km/h","47%","1017 hPa",""
"1680878306-74","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","11:30","Nubes dispersas","23°","24 km/h","50%","1017 hPa",""
"1680878306-75","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","12:00","Nubes dispersas","23°","32 km/h","53%","1016 hPa",""
"1680878306-76","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","12:30","Nubes dispersas","24°","33 km/h","50%","1016 hPa",""
"1680878306-77","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","13:00","Nubes dispersas","23°","39 km/h","53%","1015 hPa",""
"1680878306-78","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","13:30","Nubes dispersas","23°","37 km/h","57%","1015 hPa",""
"1680878306-79","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","14:00","Nubes dispersas","23°","35 km/h","57%","1015 hPa",""
"1680878306-80","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","14:30","Nubes dispersas","23°","35 km/h","53%","1014 hPa",""
"1680878306-81","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","15:00","Nubes dispersas","24°","35 km/h","50%","1014 hPa",""
"1680878306-82","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","15:30","Nubes dispersas","24°","32 km/h","50%","1014 hPa",""
"1680878306-83","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","16:00","Nubes dispersas","23°","32 km/h","53%","1014 hPa",""
"1680878306-84","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","16:30","Nubes dispersas","23°","30 km/h","53%","1014 hPa",""
"1680878306-85","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","17:00","Nubes dispersas","23°","26 km/h","53%","1014 hPa",""
"1680878306-86","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","17:30","Parcialmente cubierto","22°","22 km/h","60%","1014 hPa",""
"1680878306-87","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","18:00","Parcialmente cubierto","22°","20 km/h","57%","1014 hPa",""
"1680878306-88","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","18:30","Parcialmente cubierto","22°","24 km/h","57%","1014 hPa",""
"1680878306-89","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","19:00","Parcialmente cubierto","21°","22 km/h","64%","1014 hPa",""
"1680878306-90","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","19:30","Parcialmente cubierto","21°","20 km/h","64%","1015 hPa",""
"1680878306-91","https://www.tutiempo.net/registros/gclp/1-diciembre-2022.html","Jueves 1 Diciembre 2022","20:00","Mayormente cubierto","20°","22 km/h","78%","1015 hPa",""
